tag_id,name,slug,language,games_count
55321,Outbreak Sim,outbreak-sim-2,eng,247
18701,retro-futurism,retro-futurism,eng,6
310,Runner,runner,eng,10597
5222,avoid,avoid,eng,4690
4312,colors,colors,eng,3626
14813,ancient-greece,ancient-greece,eng,20
1377,hack-n-slash,hack-n-slash,eng,8
63274,coop-game,coop-game,eng,3
73279,visceral,visceral,eng,1
7936,dramatic,dramatic,eng,18
104,Wargame,wargame,eng,1957
2896,collectathon,collectathon,eng,2672
604,simple,simple,eng,9295
1325,kids,kids,eng,5194
17921,ship-customization,ship-customization,eng,2
2631,cat,cat,eng,2389
684,children,children,eng,3404
781,flower,flower,eng,482
15772,small-size,small-size,eng,15
45791,wolly,wolly,eng,1
712,school,school,eng,4588
2006,castle,castle,eng,1526
5506,wizards,wizards,eng,1052
930,witch,witch,eng,1064
71763,Giocatore singolo,giocatore-singolo-2,eng,3
6752,potions,potions,eng,163
88361,Дети,deti,eng,201
71768,Achievement di Steam,achievement-di-steam,eng,2
71769,Supporto completo per i controller,supporto-completo-per-i-controller,eng,2
16105,character-creation,character-creation,eng,10
88999,Acquisti dall'applicazione,acquisti-dallapplicazione,eng,1
38557,character-generator,character-generator,eng,4
3803,boss,boss,eng,3125
37795,exclusives,exclusives,eng,3
139,Trains,trains,eng,1256
1530,animation,animation,eng,3308
1689,vector,vector,eng,1248
958,sprites,sprites,eng,3109
5191,black,black,eng,49
11181,spriter,spriter,eng,2
161,Golf,golf,eng,1822
23,Mini Golf,mini-golf,eng,134
2590,fun,fun,eng,29226
1105,planet,planet,eng,3026
920,murder,murder,eng,755
4927,fly,fly,eng,2954
982,run,run,eng,3981
260,GameMaker,gamemaker,eng,7978
65224,Conquistas Steam,conquistas-steam,eng,13
65222,Um jogador,um-jogador,eng,16
59654,multijogador,multijogador,eng,8
49060,cooperativo,cooperativo,eng,10
65473,Compras em aplicativo,compras-em-aplicativo,eng,3
65470,JxJ,jxj,eng,3
65223,Cooperativo online,cooperativo-online,eng,2
65471,JxJ online,jxj-online,eng,2
76393,Compatibilidade parcial com controle,compatibilidade-parcial-com-controle,eng,1
220,Experimental,experimental,eng,9727
290,FMV,fmv,eng,895
412,deathmatch,deathmatch,eng,752
2100,violence,violence,eng,157
72047,automap,automap,eng,5
786,hentai,hentai,eng,3975
65028,sharply-dressed-demon-girls,sharply-dressed-demon-girls,eng,1
237,Dark Comedy,dark-comedy,eng,1160
2168,racer,racer,eng,1345
1382,duel,duel,eng,578
4336,invaders,invaders,eng,953
221,Music-Based Procedural Generation,music-based-procedural-generation,eng,301
418,2 players,2-players,eng,1244
1539,toy,toy,eng,969
3768,demon,demon,eng,813
3758,speed,speed,eng,8091
663,Ghosts,ghosts,eng,3246
2518,shotgun,shotgun,eng,84
2503,intense,intense,eng,86
9299,invisibility,invisibility,eng,4
13842,rocket-launcher,rocket-launcher,eng,7
72502,grenade-launcher,grenade-launcher,eng,2
27386,ogres,ogres,eng,3
72503,nailgun,nailgun,eng,2
32390,arena-battle,arena-battle,eng,4
3566,armor,armor,eng,14
7266,lan-party,lan-party,eng,3
34268,lan-game,lan-game,eng,2
72505,invincibility,invincibility,eng,1
3631,folk,folk,eng,15
49998,Лутер-шутер,luter-shuter,eng,790
769,virus,virus,eng,1227
40855,Un jugador,un-jugador,eng,24
40841,Logros de Steam,logros-de-steam,eng,21
