developer_id,name,slug,games_count,image_background
13355,Chucklefish,chucklefish,5,https://media.rawg.io/media/games/713/713269608dc8f2f40f5a670a14b2de94.jpg
4497,Visual Concepts,visual-concepts,89,https://media.rawg.io/media/games/a1c/a1cf8e234ea9dc6218682e3eab56e418.jpg
14037,Certain Affinity,certain-affinity,4,https://media.rawg.io/media/screenshots/b00/b0007d5ef7b77844d4e4501abc93475c.jpg
14641,Maxis,maxis,79,https://media.rawg.io/media/screenshots/0f8/0f8a65f340482f5d4e36406367ba650a.jpg
6138,Harebrained Schemes,harebrained-schemes,13,https://media.rawg.io/media/games/fc8/fc87bf54afe1dc079c724658ecfdc1c6.jpg
65,Kalypso Media,kalypso-media,33,https://media.rawg.io/media/screenshots/1ac/1acfcc028bda29b9fe2b73f64c1d87e3.jpg
4461,Vigil Games,vigil-games,9,https://media.rawg.io/media/games/1f1/1f1888e1308959dfd3be4c144a81d19c.jpg
4414,Blue Byte,blue-byte,55,https://media.rawg.io/media/games/057/057d16809624e4907142a6922a7e7f41.jpg
3469,Anuman Interactive,anuman-interactive,44,https://media.rawg.io/media/screenshots/3a3/3a38d98a736f610afe997d61b2a1a75f.jpg
12191,d3t,d3t,5,https://media.rawg.io/media/games/d73/d7364906c530ccc2d89b0b5d8695e03c.jpg
3512,Flying Wild Hog,flying-wild-hog,13,https://media.rawg.io/media/games/f03/f030ebc8073430ce93a83c2d93ef163d.jpg
14146,Grasshopper Manufacture,grasshopper-manufacture,31,https://media.rawg.io/media/games/458/4583011eedf4b335a121ff2235001be1.jpg
4294,Tarsier Studios,tarsier-studios,17,https://media.rawg.io/media/screenshots/924/924d300143e317c37d654dee4657ecc1.jpg
19710,Spike Chunsoft,spike-chunsoft,57,https://media.rawg.io/media/screenshots/c35/c35f2d43f314f40063a7dacf26406a79.jpg
10281,n-Space,n-space,30,https://media.rawg.io/media/games/88b/88bf3efa0b7623d2e328699a1c94bacd.jpg
3805,Instinct Games,instinct-games,4,https://media.rawg.io/media/games/58a/58ac7f6569259dcc0b60b921869b19fc.jpg
13177,Toys for Bob,toys-for-bob,24,https://media.rawg.io/media/screenshots/884/88465d2b8562b6db57308e8069113f16.jpg
10003,TT Fusion,tt-fusion,19,https://media.rawg.io/media/screenshots/41c/41c324c3545879dc2862b2833c85e241.jpg
7954,Headup Games,headup-games,61,https://media.rawg.io/media/screenshots/06a/06a61034d525d9806d7f4d006008a46c.jpg
12539,Interplay Entertainment,interplay-entertainment,61,https://media.rawg.io/media/screenshots/52b/52b958a7b263d4f264648b710e76a236.jpg
6666,Arrowhead Game Studios,arrowhead-game-studios,29,https://media.rawg.io/media/screenshots/ffc/ffce4e38323d6c2940086b6a2ea94b7d.jpg
3806,Studio Wildcard,studio-wildcard,4,https://media.rawg.io/media/games/095/0953bf01cd4e4dd204aba85489ac9868.jpg
11265,Visceral Games,visceral-games,15,https://media.rawg.io/media/games/f54/f541dbdb05443ead67495235a2a5d60c.jpg
3635,People Can Fly,people-can-fly,11,https://media.rawg.io/media/games/4ec/4ec6786820944f923eb212a3ed8d23be.jpg
8230,Game Freak,game-freak,61,https://media.rawg.io/media/games/82f/82f7b1424c5ee7eebee83faf694889c5.jpg
18659,Ubisoft Singapore,ubisoft-singapore,8,https://media.rawg.io/media/games/9f1/9f189c639f70f91166df415811a8b525.jpg
3567,Bossa Studios,bossa-studios,23,https://media.rawg.io/media/screenshots/ca8/ca840f2a8ebfc74aac1688367dc1f903.jpg
10280,Armature Studio,armature-studio,12,https://media.rawg.io/media/games/d5c/d5c284383e620e7d33c1fcaefbb03670.jpg
3522,Fatshark,fatshark,17,https://media.rawg.io/media/screenshots/304/3046ab794438498d808d861631e8ca66.jpg
378,WayForward Technologies,wayforward-technologies,84,https://media.rawg.io/media/screenshots/1cf/1cfff2a401304ddc6a52fe4bcd357990.jpg
5173,Team NINJA,team-ninja,44,https://media.rawg.io/media/games/b44/b44e56d43b3a184d26e8f933931f8bc0.jpg
10903,Asobo Studio,asobo-studio,20,https://media.rawg.io/media/screenshots/041/0412a799c141fe81f72ed4b44e63e0c6.jpg
9499,Edge of Reality,edge-of-reality,16,https://media.rawg.io/media/screenshots/e6c/e6ca3e0518b3d24562199eb48eb7c52e.jpg
4460,Gunfire Games,gunfire-games,17,https://media.rawg.io/media/games/cfe/cfe5960b5caca432f3575fc7d8ff736b.jpg
4110,Ubisoft Paris,ubisoft-paris,29,https://media.rawg.io/media/screenshots/2a4/2a48f4629cac886473ee026d15a8be1e.jpeg
5838,Dennaton Games,dennaton-games,6,https://media.rawg.io/media/games/003/0031c0067559d41df19cf98ad87e02aa.jpg
15466,Digital Domain,digital-domain,6,https://media.rawg.io/media/screenshots/d60/d603c8fc815fd1beffa716d8529668b2.jpg
2112,Introversion Software,introversion-software,10,https://media.rawg.io/media/games/6bc/6bc79f5bc023b1e6938f6eaf9926f073.jpg
17019,Electronic Arts Redwood Shores,electronic-arts-redwood-shores,40,https://media.rawg.io/media/games/ebd/ebdbb7eb52bd58b0e7fa4538d9757b60.jpg
4034,Looking Glass Studios,looking-glass-studios,18,https://media.rawg.io/media/games/86d/86d7f559c312a2082e4b1c1a184b8215.jpg
19800,BattleCry Studios,battlecry-studios,2,https://media.rawg.io/media/screenshots/475/4751a16ab53098e55dc2958a4c0a8fac.jpg
9996,City Interactive,city-interactive,57,https://media.rawg.io/media/screenshots/c5c/c5c8eeed4ac0d54098b55fa13af43f3c.jpg
177,Raw Fury,raw-fury,20,https://media.rawg.io/media/screenshots/dd1/dd1cd2840250d467f21da0509c157c43.jpg
3900,Hidden Path Entertainment,hidden-path-entertainment,8,https://media.rawg.io/media/screenshots/dc4/dc4ff84b373470bcb14c6e285a196401.jpg
